Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1u,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,94.615,-71.882,0,top
C2,0.1u,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,94.615,-82.296,0,top
C3,0.1u,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,94.361,-93.091,0,top
C4,0.1u,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,94.488,-105.029,0,top
J1,signals,PinSocket_1x07_P2.54mm_Vertical,88.925,-77.343,0,top
J2,output,PinSocket_2x08_P2.54mm_Vertical,150.515,-75.58,0,top
J3,source,PinSocket_1x02_P2.54mm_Vertical,88.925,-96.794,0,top
R1,470,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,104.14,-71.882,0,top
R2,470,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,104.14,-70.866,0,top
R3,470,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,104.14,-69.977,0,top
R4,470,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,104.14,-69.088,0,top
R5,470,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,104.14,-68.326,0,top
R6,470,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,104.14,-67.437,0,top
R7,470,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,104.14,-66.421,0,top
R8,470,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,104.14,-65.405,0,top
R9,470,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,104.0885,-82.931,0,top
R10,470,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,104.0885,-81.661,0,top
R11,470,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,104.0885,-80.391,0,top
R12,470,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,104.0885,-79.248,0,top
R13,470,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,104.0885,-78.105,0,top
R14,470,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,104.0885,-76.962,0,top
R15,470,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,104.0885,-76.073,0,top
R16,470,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,104.0885,-74.803,0,top
R17,470,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,104.14,-106.309574,0,top
R18,470,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,104.14,-94.566622,0,top
R19,470,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,104.14,-105.156,0,top
R20,470,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,104.14,-93.345,0,top
R21,470,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,104.14,-104.002429,0,top
R22,470,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,104.14,-102.848858,0,top
R23,470,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,104.14,-92.123381,0,top
R24,470,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,104.14,-90.901762,0,top
R25,470,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,104.14,-101.695287,0,top
R26,470,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,104.14,-100.541716,0,top
R27,470,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,104.14,-89.680143,0,top
R28,470,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,104.14,-88.458524,0,top
R29,470,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,104.14,-99.388145,0,top
R30,470,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,104.14,-98.234574,0,top
R31,470,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,104.14,-87.236905,0,top
R32,470,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,104.14,-86.015286,0,top
U1,74HC595,TSSOP-16_4.4x5mm_P0.65mm,97.155,-68.58,180,top
U2,TLP176GA,TLP176GA,111.506,-72.136,0,top
U3,TLP176GA,TLP176GA,120.777,-72.136,180,top
U4,TLP176GA,TLP176GA,129.667,-72.136,0,top
U5,TLP176GA,TLP176GA,138.811,-72.136,180,top
U6,TLP176GA,TLP176GA,111.506,-67.183,0,top
U7,TLP176GA,TLP176GA,120.777,-67.183,180,top
U8,TLP176GA,TLP176GA,129.667,-67.183,0,top
U9,TLP176GA,TLP176GA,138.811,-67.183,180,top
U10,74HC595,TSSOP-16_4.4x5mm_P0.65mm,97.155,-78.867,180,top
U11,TLP176GA,TLP176GA,111.506,-82.423,0,top
U12,TLP176GA,TLP176GA,120.777,-82.423,180,top
U13,TLP176GA,TLP176GA,129.667,-82.423,0,top
U14,TLP176GA,TLP176GA,138.811,-82.423,180,top
U15,TLP176GA,TLP176GA,111.506,-77.343,0,top
U16,TLP176GA,TLP176GA,120.777,-77.343,180,top
U17,TLP176GA,TLP176GA,129.667,-77.343,0,top
U18,TLP176GA,TLP176GA,138.811,-77.343,180,top
U19,74HC595,TSSOP-16_4.4x5mm_P0.65mm,97.155,-89.535,180,top
U20,74HC595,TSSOP-16_4.4x5mm_P0.65mm,97.155,-101.727,180,top
U21,TLP176GA,TLP176GA,111.506,-102.997,0,top
U22,TLP176GA,TLP176GA,120.777,-102.997,180,top
U23,TLP176GA,TLP176GA,111.506,-92.964,0,top
U24,TLP176GA,TLP176GA,120.777,-92.964,180,top
U25,TLP176GA,TLP176GA,129.667,-102.997,0,top
U26,TLP176GA,TLP176GA,138.811,-102.997,180,top
U27,TLP176GA,TLP176GA,129.667,-92.964,0,top
U28,TLP176GA,TLP176GA,138.811,-92.964,180,top
U29,TLP176GA,TLP176GA,111.506,-98.044,0,top
U30,TLP176GA,TLP176GA,120.777,-98.044,180,top
U31,TLP176GA,TLP176GA,111.506,-87.63,0,top
U32,TLP176GA,TLP176GA,120.777,-87.63,180,top
U33,TLP176GA,TLP176GA,129.667,-98.044,0,top
U34,TLP176GA,TLP176GA,138.811,-98.044,180,top
U35,TLP176GA,TLP176GA,129.667,-87.63,0,top
U36,TLP176GA,TLP176GA,138.811,-87.63,180,top
